wl,n,k
0.153571,0.601127233,1.8917199
0.153925,0.603897197,1.89702145
0.15428,0.606663683,1.9022277
0.154636,0.609414014,1.90733113
0.154992,0.612129791,1.91234279
0.15535,0.614795441,1.91726626
0.155708,0.617399298,1.92209509
0.156067,0.61992428,1.92684271
0.156426,0.622355728,1.93151875
0.156787,0.62468103,1.9361311
0.157148,0.6268884,1.94069053
0.157511,0.628964175,1.94521979
0.157874,0.630901578,1.94972714
0.158238,0.632693209,1.9542302
0.158602,0.634336116,1.95874067
0.158968,0.635821104,1.96329755
0.159335,0.637154029,1.96790146
0.159702,0.638333514,1.97258328
0.16007,0.639365604,1.97735847
0.160439,0.640256639,1.98224853
0.160809,0.641017671,1.98726649
0.16118,0.64166598,1.99241116
0.161551,0.642204645,1.99772946
0.161923,0.64265314,2.00322024
0.162297,0.643030316,2.00888571
0.162671,0.643347969,2.01475034
0.163046,0.643630887,2.02079693
0.163422,0.643891112,2.02704602
0.163798,0.644149273,2.0334881
0.164176,0.644419933,2.04012874
0.164555,0.644716731,2.04696858
0.164934,0.645057562,2.05398469
0.165314,0.645449837,2.0611907
0.165695,0.64590714,2.06857627
0.166077,0.64643882,2.07614029
0.16646,0.647057761,2.08386651
0.166844,0.647774163,2.09174417
0.167228,0.64859015,2.09978636
0.167614,0.649519451,2.10796725
0.168,0.650564809,2.11629586
0.168388,0.651735554,2.12475973
0.168776,0.653039525,2.13335146
0.169165,0.654483714,2.14206673
0.169555,0.6560764,2.15089715
0.169946,0.657826991,2.15983011
0.170337,0.659741757,2.16886196
0.17073,0.661828763,2.17798069
0.171124,0.66409587,2.18717108
0.171518,0.666549853,2.19641616
0.171913,0.669189957,2.20571704
0.17231,0.672026312,2.2150309
0.172707,0.675052372,2.22436081
0.173105,0.678271012,2.23366906
0.173504,0.681669163,2.24296057
0.173904,0.685242665,2.25220127
0.174305,0.688977222,2.26138173
0.174707,0.692859496,2.27048197
0.17511,0.696868811,2.27950035
0.175513,0.700990945,2.28841059
0.175918,0.705199342,2.29722537
0.176323,0.709475077,2.30593347
0.17673,0.713791574,2.31455189
0.177137,0.718133524,2.32306659
0.177546,0.722478033,2.33149599
0.177955,0.726800092,2.33987564
0.178365,0.731091718,2.34820004
0.178776,0.73533482,2.3565152
0.179188,0.739526474,2.36484467
0.179601,0.743669234,2.37323
0.180015,0.747780934,2.38170873
0.18043,0.751893169,2.39032429
0.180846,0.756059506,2.3990948
0.181263,0.760344162,2.40802862
0.181681,0.764815482,2.41710819
0.1821,0.769533271,2.42628375
0.18252,0.774536191,2.43547071
0.182941,0.779822801,2.44458745
0.183362,0.785359087,2.45354094
0.183785,0.791074522,2.4622797
0.184209,0.796886199,2.47077695
0.184633,0.802714486,2.47903927
0.185059,0.808495615,2.4871057
0.185485,0.814191985,2.49502675
0.185913,0.819787415,2.50286531
0.186342,0.825290347,2.51065939
0.186771,0.830716729,2.51844517
0.187202,0.836087517,2.52624194
0.187633,0.841421817,2.53406038
0.188066,0.846738501,2.54189387
0.188499,0.852042553,2.5497614
0.188934,0.857345825,2.55764918
0.189369,0.862656287,2.56554724
0.189806,0.86797025,2.57347568
0.190244,0.873294549,2.58142068
0.190682,0.878631123,2.58938172
0.191122,0.883980775,2.59736099
0.191562,0.889345298,2.60535739
0.192004,0.894724542,2.61337535
0.192446,0.900120968,2.62141154
